ID,Major,HighSchoolGPA,SATScores,AppliedtoanotherUC,AdmittedtoanotherUC,FirstGeneration,Gender,TotalHSHonorsCoursesTaken,MathPlacementScore,FirstMathClassGrade,@1stSemesterGPA,Retained1stYear,Graduated
67026,Mechanical Engineering,3.6,750,Yes,Yes,Yes,F,6,,D-,1.74,Y,Yes
146002,Undeclared,3.68,780,,Yes,Yes,F,8,3,W,1.74,Y,Yes
157288,Undeclared Natural Sciences,3.68,1170,,Yes,No,F,12,3,A+,1.75,N,No
78356,Undeclared SSHA,3.6,1060,,,Yes,F,9,8,A+,1.75,N,No
94028,Psychology,2.63,860,No,No,Yes,M,8,6,D,1.75,N,No
97598,Psychology,2.65,1140,,Yes,No,F,16,6,D,1.75,N,No
65530,Bioengineering,3.59,780,,Yes,Yes,M,13,7,D,1.75,N,No
153506,Undeclared Engineering,3.68,950,,No,Yes,F,0,3,F,1.75,N,No
198016,Computer Science & Engineering,3.72,920,,Yes,No,M,0,2,F,1.75,N,No
66674,Undeclared,3.6,940,,No,Yes,M,9,8,W,1.75,N,No
66282,Undeclared SSHA,3.6,950,Yes,Yes,Yes,M,10,8,W,1.75,N,No
161098,Biological Sciences,3.69,1040,Yes,Yes,No,M,10,3,A+,1.75,Y,No
96584,Biological Sciences,2.65,1090,,,No,M,9,7,D,1.75,Y,No
69190,Psychology,3.6,980,Yes,Yes,No,F,11,,F,1.75,Y,No
164402,Cognitive Science,3.69,1030,,Yes,No,M,12,3,A+,1.75,Y,Yes
76836,Undeclared,3.6,1140,Yes,No,No,F,8,8,A+,1.75,Y,Yes
197564,Undeclared,3,960,,Yes,No,F,7,3,D,1.75,Y,Yes
210524,Undeclared,3,950,Yes,No,Yes,M,8,,F,1.75,Y,Yes
282170,Environmental Engineering,3.12,1040,Yes,No,Yes,F,0,7,I,1.75,Y,Yes
159792,Psychology,3.69,1230,,Yes,No,F,8,3,A+,1.77,N,No
99180,Undeclared SSHA,3.62,1070,Yes,Yes,Yes,M,10,8,A+,1.77,N,No
110510,Undeclared,3.63,1110,,No,Yes,F,8,8,A+,1.77,N,No
86578,Undeclared,3.61,1130,Yes,Yes,Yes,F,6,8,A+,1.77,N,No
108976,Chemical Sciences,3.63,1180,,Yes,No,F,0,8,A+,1.77,N,No
101496,Mechanical Engineering,3.63,900,Yes,Yes,Yes,F,0,8,C,1.77,N,No
172034,Undeclared,3.7,810,,No,Yes,F,8,3,F,1.77,N,No
161732,Sociology,3.69,890,Yes,Yes,No,F,0,3,F,1.77,N,No
172836,English,3.7,960,Yes,Yes,Yes,M,8,3,F,1.77,N,No
173602,Undeclared,3.7,970,Yes,No,Yes,M,10,,F,1.77,N,No
109344,Undeclared Natural Sciences,3.63,780,,Yes,Yes,F,0,8,W,1.77,N,No
83880,Undeclared,3.61,850,Yes,Yes,Yes,F,6,8,C,1.77,Y,No
176896,Applied Mathematical Sciences,3.7,860,,Yes,Yes,F,0,3,F,1.77,Y,No
159872,Undeclared Natural Sciences,3.69,1070,Yes,No,Yes,F,10,3,A+,1.77,Y,Yes
166086,Undeclared,3.7,1080,,No,Yes,M,8,3,A+,1.77,Y,Yes
78210,Undeclared SSHA,3.6,990,,,No,F,8,8,A+,1.77,Y,Yes
83916,Political Science,3.61,1050,Yes,Yes,Yes,F,10,8,A+,1.77,Y,Yes
162346,Mechanical Engineering,3.69,1000,Yes,Yes,Yes,F,10,,F,1.77,Y,Yes
221886,History,3.75,1130,,Yes,No,M,6,3,A+,1.78,N,No
112592,Chemical Sciences,3.64,1120,Yes,Yes,No,F,12,8,A+,1.78,N,No
121492,Biological Sciences,3.65,870,,Yes,No,F,9,8,C,1.78,N,No
219980,Undeclared SSHA,3.75,860,No,No,No,M,6,3,F,1.78,N,No
183758,Management & Business Economics,3.71,860,,Yes,No,M,8,3,F,1.78,Y,No
124914,Economics,3.65,1110,Yes,Yes,No,M,8,8,A+,1.78,Y,Yes
120900,Materials Sci & Engineering,3.65,640,No,No,Yes,F,13,8,B+,1.8,N,No
149996,Undeclared,3.68,890,,No,Yes,M,7,8,C,1.8,N,No
242684,Undeclared,3.77,800,,Yes,No,F,0,3,F,1.8,N,No
148820,Applied Mathematical Sciences,3.68,590,,Yes,Yes,F,6,8,C,1.8,Y,No
175334,Undeclared,3.7,820,No,No,Yes,F,11,2,C-,1.8,Y,No
29832,Undeclared SSHA,3.05,580,,No,Yes,F,2,1,D+,1.8,Y,No
232222,Economics,3.76,1020,,Yes,Yes,F,7,3,A+,1.8,Y,Yes
148420,Management & Business Economics,3.68,950,Yes,Yes,Yes,F,0,8,A+,1.8,Y,Yes
153312,Applied Mathematical Sciences,3.68,960,,Yes,No,M,6,8,A+,1.8,Y,Yes
248262,Psychology,3.78,890,,No,Yes,M,8,3,F,1.8,Y,Yes
153626,Undeclared,3.68,1010,Yes,No,Yes,F,0,8,A+,1.82,Y,No
124280,Undeclared,2.77,1170,,Yes,Yes,F,0,3,D,1.82,Y,Yes
166352,Psychology,3.7,920,Yes,Yes,No,F,8,8,A+,1.83,N,No
172272,Management & Business Economics,3.7,950,,No,Yes,F,0,8,A+,1.83,N,No
172516,Bioengineering,3.7,1080,,Yes,No,F,10,8,A+,1.83,N,No
172552,Biological Sciences,3.7,830,Yes,Yes,No,M,6,8,C,1.83,N,No
174218,Psychology,3.7,900,,No,Yes,F,0,8,A+,1.83,Y,No
170442,Physics,3.7,920,Yes,No,No,M,11,8,A+,1.83,Y,Yes
156670,Management & Business Economics,3.68,830,,Yes,Yes,F,0,3,D,1.83,Y,Yes
64522,Psychology,3.59,870,No,No,Yes,F,0,3,D,1.83,Y,Yes
67792,Undeclared SSHA,3.6,920,Yes,Yes,Yes,F,0,3,D,1.83,Y,Yes
77952,Mechanical Engineering,3.6,940,,,Yes,F,0,3,D,1.83,Y,Yes
116274,Psychology,3.65,970,,No,Yes,F,0,3,D,1.83,Y,Yes
87076,Economics,3.61,1230,Yes,Yes,Yes,F,0,3,D,1.83,Y,Yes
174258,Public Health,3.7,890,,No,Yes,F,0,,C,1.84,N,No
170558,Psychology,3.7,920,Yes,Yes,Yes,M,8,8,A+,1.84,Y,No
153722,Undeclared Natural Sciences,3.68,830,No,No,Yes,F,0,3,D,1.84,Y,Yes
150984,Undeclared,3.68,890,No,No,Yes,F,0,3,D,1.84,Y,Yes
166224,Undeclared,3.7,930,Yes,Yes,Yes,F,8,8,A+,1.85,N,No
186800,Psychology,3.72,1180,,Yes,No,F,10,8,A+,1.85,N,No
174986,Undeclared,3.7,890,No,No,Yes,F,15,8,C,1.85,N,No
168740,Undeclared,3.7,920,,No,Yes,M,6,8,A+,1.85,Y,No
175626,Computer Science & Engineering,3.7,860,,Yes,Yes,F,0,3,D,1.85,Y,Yes
174456,Computer Science & Engineering,3.7,990,Yes,No,Yes,F,0,3,D,1.85,Y,Yes
178476,Psychology,3.7,1130,,Yes,Yes,F,0,3,D,1.85,Y,Yes
174384,Biological Sciences,3.7,1160,Yes,Yes,Yes,F,0,3,D,1.85,Y,Yes
209316,Sociology,3.74,890,,No,Yes,F,10,8,C,1.86,N,No
174868,Undeclared,3.7,1050,Yes,Yes,Yes,F,0,3,D,1.86,Y,Yes
149022,Biological Sciences,2.97,730,,No,No,M,8,5,A,1.87,N,No
209046,Undeclared,3.74,1080,,Yes,Yes,M,6,8,A+,1.87,Y,Yes
239362,Biological Sciences,3.77,910,Yes,Yes,No,F,8,8,A+,1.88,N,No
73334,Anthropology,3.62,690,Yes,Yes,No,F,6,5,I,1.88,Y,No
235738,Psychology,3.77,820,,No,No,M,10,6,A,1.89,N,No
242424,Political Science,3.77,860,Yes,Yes,No,F,0,8,C,1.89,Y,No
179270,Computer Science & Engineering,3.7,1020,Yes,Yes,,F,8,7,A,1.9,N,No
213752,Management & Business Economics,3.75,810,,No,No,M,10,9,A,1.9,N,No
263276,Cognitive Science,3.1,820,No,No,No,M,7,9,A,1.9,N,No
170874,Computer Science & Engineering,3.7,810,No,No,No,M,5,10,A,1.9,N,No
137234,Chemical Sciences,3.66,840,,Yes,Yes,F,0,,A-,1.9,N,No
283168,Political Science,3.81,1050,,Yes,No,F,0,3,A+,1.9,N,No
281700,Bioengineering,3.81,1060,,Yes,No,F,10,3,A+,1.9,N,No
270794,Management &Business Economics,3.8,1080,,No,Yes,M,6,3,A+,1.9,N,No
272806,Political Science,3.8,1190,,Yes,No,F,9,3,A+,1.9,N,No
269844,Mechanical Engineering,3.8,1040,Yes,Yes,Yes,M,8,8,A+,1.9,N,No
225210,Computer Science & Engineering,3.75,850,,No,Yes,F,4,7,B-,1.9,N,No
270078,Anthropology,3.8,900,,No,Yes,F,0,7,C,1.9,N,No
219892,Undeclared,3.75,870,,No,No,F,12,5,D,1.9,N,No
145878,Materials Sci & Engineering,2.86,850,Yes,,No,F,0,3,D-,1.9,N,No
260348,Biological Sciences,3.09,1230,,Yes,No,F,0,3,D-,1.9,N,No
132536,Computer Science & Engineering,3.66,1250,,Yes,No,F,0,3,D-,1.9,N,No
179212,Chemical Sciences,2.95,1230,Yes,Yes,No,F,0,5,D-,1.9,N,No
177446,Computer Science & Engineering,3.7,750,No,No,No,F,0,8,D-,1.9,N,No
246696,Management & Business Economics,3.78,820,No,No,No,F,0,8,D-,1.9,N,No
155342,Political Science,2.9,860,Yes,Yes,No,F,0,8,D-,1.9,N,No
130028,Political Science,3.66,930,Yes,No,Yes,F,0,1,D+,1.9,N,No
35892,Undeclared,3.59,820,,Yes,Yes,F,0,8,D+,1.9,N,No
283744,Undeclared,3.12,830,,No,Yes,F,0,8,D+,1.9,N,No
76658,Economics,3.6,880,,Yes,No,F,0,8,D+,1.9,N,No
179006,Psychology,3.7,880,,No,Yes,F,0,8,D+,1.9,N,No
281070,Bioengineering,3.81,940,,Yes,No,F,0,8,D+,1.9,N,No
234292,Undeclared,3.77,910,Yes,Yes,Yes,F,0,10,D+,1.9,N,No
197784,Anthropology,3.72,790,Yes,Yes,No,F,0,8,F,1.9,N,No
197528,Public Health,3.72,1060,Yes,Yes,No,F,0,8,F,1.9,N,No
77068,Biological Sciences,2.45,1220,Yes,Yes,No,F,0,8,F,1.9,N,No
284248,Political Science,3.13,960,,Yes,Yes,F,0,3,F,1.9,N,No
230928,Psychology,3.76,550,,No,No,M,3,8,I,1.9,N,No
141922,Bioengineering,2.85,720,,Yes,Yes,F,0,8,I,1.9,N,No
217392,Psychology,3.75,550,No,No,No,M,2,9,I,1.9,N,No
86430,Mechanical Engineering,2.86,720,,No,No,M,5,9,A,1.9,Y,No
208798,Undeclared,3,820,,No,No,M,6,9,A,1.9,Y,No
272424,Biological Sciences,3.8,1000,Yes,Yes,Yes,M,9,8,A+,1.9,Y,No
29826,Biological Sciences,3.06,530,,Yes,,F,0,1,D,1.9,Y,No
257590,Biological Sciences,3.79,950,,Yes,Yes,F,17,3,F,1.9,Y,No
59708,Cognitive Science,3.59,1130,,Yes,Yes,F,10,3,A+,1.9,Y,Yes
249626,Undeclared,3.78,950,,Yes,No,F,14,8,A+,1.9,Y,Yes
248806,Computer Science & Engineering,3.78,1100,,No,No,F,13,8,A+,1.9,Y,Yes
247026,English,3.78,1180,,Yes,No,F,10,8,A+,1.9,Y,Yes
262000,Biological Sciences,3.8,820,Yes,Yes,No,F,9,,C,1.9,Y,Yes
130734,Political Science,3.66,680,Yes,No,Yes,F,10,5,C-,1.9,Y,Yes
189186,Undeclared SSHA,3.72,1140,,Yes,Yes,F,0,9,D,1.9,Y,Yes
218180,Anthropology,3.75,860,Yes,Yes,No,M,12,5,D,1.9,Y,Yes
134478,Mechanical Engineering,3.66,890,,Yes,No,F,0,8,D-,1.9,Y,Yes
99978,Undeclared,3.63,620,Yes,Yes,Yes,F,0,8,D+,1.9,Y,Yes
179220,Biological Sciences,3.7,880,Yes,Yes,No,F,0,8,D+,1.9,Y,Yes
132546,Undeclared,3.66,1040,,Yes,Yes,F,0,8,D+,1.9,Y,Yes
284880,Chemical Sciences,3.82,1040,,No,No,F,0,8,D+,1.9,Y,Yes
82712,Undeclared,3.22,1290,,Yes,Yes,F,0,,D+,1.9,Y,Yes
261528,Biological Sciences,3.8,990,,Yes,Yes,F,0,3,F,1.9,Y,Yes
66140,Bioengineering,2.35,940,,Yes,No,F,0,8,F,1.9,Y,Yes
67684,Undeclared,3.6,1020,Yes,Yes,No,F,0,8,F,1.9,Y,Yes
111198,Undeclared,2.72,1030,,Yes,No,F,0,8,F,1.9,Y,Yes
128092,Undeclared,2.8,1160,,Yes,No,F,0,8,F,1.9,Y,Yes
77132,Undeclared,2.45,1250,Yes,Yes,No,F,0,8,F,1.9,Y,Yes
78096,History,3.6,1250,,Yes,No,F,0,8,F,1.9,Y,Yes
262088,Undeclared SSHA,3.8,760,,Yes,No,F,12,3,I,1.9,Y,Yes
180708,Earth Systems Science,3.71,1200,Yes,Yes,No,F,0,3,D-,1.91,Y,Yes
165162,Computer Science & Engineering,2.91,1130,Yes,Yes,Yes,F,0,8,I,1.91,Y,Yes
239066,Biological Sciences,3.77,810,,Yes,No,F,0,3,D-,1.93,N,No
204222,Undeclared,3,950,,No,Yes,F,0,8,I,1.93,N,No
138626,Biological Sciences,2.84,1200,,Yes,Yes,F,0,3,D+,1.93,Y,No
170236,Undeclared,2.94,870,Yes,Yes,Yes,F,0,8,I,1.93,Y,Yes
145652,Undeclared,2.86,890,,Yes,Yes,F,0,3,D+,1.96,Y,Yes
280590,Chemical Sciences,3.12,990,Yes,No,Yes,F,0,8,I,1.96,Y,Yes
187350,Undeclared Engineering,2.96,1100,Yes,No,Yes,F,0,3,D+,1.97,Y,Yes
280074,Undeclared,3.12,1040,,Yes,Yes,F,0,8,I,1.97,Y,Yes
194574,Undeclared,3,1140,,No,Yes,F,0,3,D+,1.99,N,No
179390,Computer Science & Engineering,3.7,760,,Yes,Yes,F,0,8,I,1.99,Y,No
123140,History,3.65,910,Yes,Yes,No,F,0,7,B+,2,N,No
118284,Earth Systems Science,3.65,1030,,Yes,No,F,0,7,B+,2,N,No
105454,Undeclared SSHA,3.63,1250,,Yes,No,F,0,7,B+,2,N,No
90348,Mechanical Engineering,3.62,920,,No,Yes,F,0,6,C,2,N,No
222490,Management & Business Economics,3.75,1030,Yes,Yes,Yes,F,0,6,C,2,N,No
133668,Chemical Sciences,3.66,1070,,No,Yes,F,0,6,C,2,N,No
134222,Biological Sciences,3.66,1080,,No,Yes,F,0,,C,2,N,No
153564,Biological Sciences,3.68,900,,No,Yes,F,0,6,D+,2,N,No
114214,Undeclared SSHA,3.64,950,,No,No,F,0,6,D+,2,N,No
273036,Computer Science & Engineering,3.8,980,,Yes,No,F,0,6,D+,2,N,No
66004,Undeclared,3.6,1000,,No,Yes,F,0,6,D+,2,N,No
103968,Chemical Sciences,3.63,1010,Yes,No,Yes,F,0,2,D+,2,N,No
283706,Biological Sciences,3.82,840,No,No,No,F,0,6,D+,2,N,No
144070,Psychology,3.67,830,,No,No,F,0,4,D+,2,N,No
68446,Environmental Engineering,3.6,890,,Yes,No,F,0,1,F,2,N,No
67648,Undeclared,3.6,850,,No,No,F,0,5,F,2,N,No
74866,Biological Sciences,3.6,850,No,No,No,F,0,5,F,2,N,No
67750,Psychology,3.6,890,No,No,No,F,0,5,F,2,N,No
72984,Undeclared,3.6,930,,No,No,F,0,5,F,2,N,No
107012,Computer Science & Engineering,3.63,940,Yes,Yes,No,F,0,5,F,2,N,No
95058,Undeclared Natural Sciences,2.63,1130,Yes,Yes,No,F,0,5,F,2,N,No
114212,Undeclared,2.73,1130,Yes,No,No,F,0,5,F,2,N,No
125298,Undeclared,2.78,990,,Yes,No,F,0,7,F,2,N,No
124140,Mechanical Engineering,3.65,1060,,Yes,No,F,0,7,F,2,N,No
